stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
11807,,WOODMAN DR @ E DOROTHY LN,Woodman Dr & E Dorothy Ln,39.702608,-84.123418,,,,,0
11808,,WOODMAN DR @ 3085 WOODMAN DR,,39.699418,-84.123639,,,,,0
11809,,WOODMAN DR @ DANUBE CT,,39.697366,-84.124076,,,,,0
11810,,WOODMAN DR @ STOCKER DR,,39.696021,-84.126541,,,,,0
11811,,WOODMAN DR @ GRICE LN,,39.694913,-84.127303,,,,,0
11812,,WOODMAN DR @ DORIS DR,,39.692246,-84.127571,,,,,0
11813,,WOODMAN DR @ STROOP RD,,39.688923,-84.128033,,,,,0
11815,,BIGGER RD @ DAVID RD,,39.67998,-84.125223,,,,,0
11816,,BIGGER RD @ POLEN DR,,39.677868,-84.12546,,,,,0
11817,,BIGGER RD @ CAROL PKWY,,39.6746,-84.125704,,,,,0
11818,,BIGGER RD @ BELLOAK DR,,39.672519,-84.125979,,,,,0
11819,,BIGGER RD @ 5099 BIGGER RD,,39.669845,-84.126114,,,,,0
11820,,BIGGER RD @ RAHN RD,,39.667435,-84.12634,,,,,0
11824,,BIGGER RD @ E RAHN RD,Bigger Rd & E Rahn Rd,39.66701,-84.126036,,,,,0
11825,,BIGGER RD @ GREENOAK CT,Bigger Rd & Greenoak Ct,39.670249,-84.12578,,,,,0
11826,,BIGGER RD @ BELLOAK DR,Bigger Rd & Belloak Dr,39.672266,-84.125641,,,,,0
11827,,BIGGER RD @ 4800 BIGGER RD,Bigger Rd & Polen Dr,39.675131,-84.125349,,,,,0
11828,,BIGGER RD @ POLEN DR,Bigger Rd & Polen Dr,39.677647,-84.125092,,,,,0
11829,,BIGGER RD @ DAVID RD,Bigger Rd & E David Rd,39.680084,-84.124906,,,,,0
11830,,E DAVID RD @ WILMINGTON PIKE,E David Rd & Wilmington Pike,39.680664,-84.123212,,,,,0
11833,,WOODMAN DR @ E STROOP RD,,39.689396,-84.12769,,,,,0
11834,,WOODMAN DR @ 3720 WOODMAN DR,,39.692031,-84.127382,,,,,0
11835,,WOODMAN DR @ GRICE LN,,39.694705,-84.127146,,,,,0
11836,,WOODMAN DR @ STOCKER DR,,39.69593,-84.126413,,,,,0
11837,,WOODMAN DR @ DANUBE CT,,39.69701,-84.124243,,,,,0
11838,,WOODMAN DR @ 3080 WOODMAN DR,,39.699076,-84.12354,,,,,0
11839,,WOODMAN DR @ DOROTHY LN,,39.701214,-84.123342,,,,,0
11841,,E DOROTHY LN @ 2001 DOROTHY LN,,39.702876,-84.124705,,,,,0
11844,,E DOROTHY LN @ MOHICAN AV,,39.703413,-84.134762,,,,,0
11845,,E DOROTHY LN @ BOBBIE PL,,39.703614,-84.138324,,,,,0
11846,,E DOROTHY LN @ HOBART AV,,39.7037,-84.13987,,,,,0
11848,,WILMINGTON PIKE @ ANSEL DR,,39.707834,-84.1427,,,,,0
11850,,WILMINGTON PIKE @ IMPERIAL BLVD,,39.710621,-84.142923,,,,,0
11851,,S SMITHVILLE RD @ DUTCHESS AV,,39.713528,-84.14268,,,,,0
11852,,S SMITHVILLE RD @ FORRER BLVD,,39.716018,-84.142439,,,,,0
11854,,S SMITHVILLE RD @ TABOR AV,,39.719307,-84.142132,,,,,0
11855,,S SMITHVILLE RD @ ASHLAND AV,,39.721307,-84.141947,,,,,0
11856,,S SMITHVILLE RD @ PATTERSON RD,,39.723513,-84.141716,,,,,0
11858,,S SMITHVILLE RD @ HIGHVIEW AV,,39.726512,-84.14146,,,,,0
11859,,S SMITHVILLE RD @ BELLAIRE AV,,39.728193,-84.141152,,,,,0
11860,,S SMITHVILLE RD @ WATERVLIET AV,,39.730117,-84.141047,,,,,0
11861,,S SMITHVILLE RD @ JOHN GLENN RD,,39.733908,-84.140732,,,,,0
11862,,S SMITHVILLE RD @ WOODBINE AV,,39.735767,-84.140578,,,,,0
11864,,S SMITHVILLE RD @ WAYNE AV,,39.738258,-84.140354,,,,,0
11865,,S SMITHVILLE RD @ ARCADIA BLVD,,39.740035,-84.140153,,,,,0
11867,,S SMITHVILLE RD @ CORINTH BLVD,,39.741679,-84.140018,,,,,0
11875,,S SMITHVILLE RD @ GUMMER AV,,39.755409,-84.138719,,,,,0
11876,,S SMITHVILLE RD @ SUMAN AV,S Smithville Rd & Suman Av,39.756564,-84.138499,,,,,0
11877,,S SMITHVILLE RD @ HUFFMAN AV,S Smithville Rd & Huffman Av,39.757456,-84.138394,,,,,0
11878,,S SMITHVILLE RD @ BURKHARDT RD,S Smithville Rd & Burkhardt Av,39.760116,-84.138126,,,,,0
11879,,S SMITHVILLE RD @ E 5TH ST,,39.762368,-84.137945,,,,,0
11881,,N SMITHVILLE RD @ COLIN KELLY DR,,39.768193,-84.137492,,,,,0
11882,,N SMITHVILLE RD @ WOODLEY RD,,39.769664,-84.137345,,,,,0
11884,,N SMITHVILLE RD @ RADIO RD,N Smithville Rd & Radio Rd,39.772629,-84.135523,,,,,0
11885,,N SMITHVILLE RD @ FAIR PARK AV,N Smithville Rd & Fair Park Av,39.774432,-84.135301,,,,,0
11886,,N SMITHVILLE RD @ SPRINGFIELD PI,,39.778077,-84.138061,,,,,0
11887,,WAYNE AV @ E 4TH ST,,39.759638,-84.184714,,,,,0
11888,,WAYNE AV @ JACKSON ST,Wayne Av & E 4th St,39.758663,-84.183808,,,,,0
11890,,E 5TH ST @ BAINBRIDGE ST,,39.757328,-84.180556,,,,,0
11891,,E 5TH ST @ DAYTON TOWERS DR,,39.757603,-84.17888,,,,,0
11893,,E 5TH ST @ HIGH,E 5th St & High St,39.758099,-84.175787,,,,,0
11894,,E 5TH ST @ LABELLE ST,E FIFTH ST & LA BELLE ST,39.758542,-84.173405,,,,,0
11895,,E 5TH ST @ MCCLURE ST,E FIFTH ST & MCCLURE ST,39.7589,-84.171121,,,,,0
11898,,E 5TH ST @ HUFFMAN AV,,39.759757,-84.16604,,,,,0
11899,,E 5TH ST @ COLUMBUS ST,,39.759989,-84.164604,,,,,0
11900,,E 5TH ST @ LINDEN AV,,39.760419,-84.161859,,,,,0
11901,,E 5TH ST @ S GARFIELD ST,,39.760722,-84.160004,,,,,0
11903,,E 5TH ST @ S FINDLAY ST,,39.761329,-84.15634,,,,,0
11905,,MARTZ AV @ BURKHARDT AV,,39.761193,-84.153571,,,,,0
11907,,MARTZ AV @ HUFFMAN AV,,39.758617,-84.153795,,,,,0
11909,,HUFFMAN AV @ GILBERT AV,,39.758374,-84.152364,,,,,0
11910,,HUFFMAN AV @ HOLLIER AV,,39.758226,-84.150449,,,,,0
11914,,HUFFMAN AV @ S WRIGHT AV,,39.757844,-84.14346,,,,,0
11916,,HUFFMAN AV @ HEISS AV,,39.757714,-84.141053,,,,,0
11917,,HUFFMAN AV @ S SMITHVILLE RD,,39.757484,-84.138102,,,,,0
11918,,HUFFMAN AV @ MERTLAND AV,HUFFMAN AVE & MERTLAND AVE,39.757345,-84.135894,,,,,0
11919,,HUFFMAN AV @ KESTER AV,HUFFMAN AVE & KESTER AVE,39.757204,-84.133727,,,,,0
11920,,HUFFMAN AV @ SHEDBORNE AV,HUFFMAN AVE & SHEDBORNE AVE,39.757124,-84.131925,,,,,0
11921,,SHEDBORNE AV @ BURKHARDT RD,SHEDBORNE AVE & BURKHARDT AVE,39.759409,-84.131362,,,,,0
11922,,BURKHARDT RD @ 4740 BURKHARDT RD,,39.759867,-84.129555,,,,,0
11923,,BURKHARDT RD @ VALENTINE DR,BURKHARDT AVE & MERTLAND AVE,39.759644,-84.125025,,,,,0
11925,,BURKHARDT RD @ WOODMAN DR,,39.759422,-84.121313,,,,,0
11926,,BURKHARDT RD @ WOODMAN DR,,39.759281,-84.119464,,,,,0
11927,,BURKHARDT RD @ COSLER DR,BURKHARDT AVE & COSLER DR,39.759831,-84.127263,,,,,0
11928,,BURKHARDT RD @ GRANVILLE PL,,39.759138,-84.117014,,,,,0
11930,,BURKHARDT RD @ DODGE CT,,39.758881,-84.112975,,,,,0
11931,,BURKHARDT RD @ SPINNING RD,,39.758745,-84.110779,,,,,0
11932,,SPINNING RD @ 635 SPINNING RD,,39.757341,-84.110076,,,,,0
11933,,SPINNING RD @ DUQUESNE AV,,39.755657,-84.110246,,,,,0
11934,,SPINNING RD @ ROBINWOOD AV,,39.753567,-84.110443,,,,,0
11935,,SPINNING RD @ EASTMAN AV,Spinning Rd & Eastman Av,39.751329,-84.110738,,,,,0
11938,,SPINNING RD @ PENN AV,,39.745189,-84.111252,,,,,0
11946,,LINDEN AV @ 4514 LINDEN AV,,39.742998,-84.113491,,,,,0
11947,,LINDEN AV @ 4433 LINDEN AV,,39.743514,-84.115176,,,,,0
11949,,LINDEN AV @ WOODMAN DR,,39.744112,-84.119434,,,,,0
11953,,SPINNING RD @ ROBINWOOD AV,,39.753565,-84.110326,,,,,0
11954,,SPINNING RD @ MARBLEHEAD DR,,39.755415,-84.110169,,,,,0
11955,,SPINNING RD @ 700 SPINNING RD,SPINNING RD & DUQUESNE AVE,39.75683,-84.10989,,,,,0
11956,,SPINNING RD @ BURKHARDT RD,SPINNING RD & BURKHARDT AVE,39.757946,-84.109784,,,,,0
11957,,BURKHARDT RD @ KETCHAM ST,,39.758939,-84.112206,,,,,0
11958,,BURKHARDT RD @ ABILENE CT,,39.759107,-84.115118,,,,,0
11959,,BURKHARDT RD @ PANDORA DR,,39.759365,-84.118676,,,,,0
11960,,BURKHARDT RD @ WOODMAN DR,,39.759537,-84.121279,,,,,0
11961,,BURKHARDT RD @ VALENTINE DR,Burkhardt Av & Valentine Dr,39.759828,-84.124687,,,,,0
11963,,COSLER DR @ BURKHARDT,Cosler Dr & Speice Av,39.759345,-84.127172,,,,,0
11964,,COSLER DR @ FULMER DR,,39.757063,-84.126967,,,,,0
11966,,COSLER DR @ ALEXANDER DR,,39.75444,-84.128607,,,,,0
11967,,COSLER DR @ TUTTLE AV,,39.753709,-84.129675,,,,,0
11969,,TUTTLE AV @ KESTER AV,,39.753871,-84.1341,,,,,0
11970,,TUTTLE AV @ MERTLAND AV,,39.754028,-84.136252,,,,,0
11972,,TUTTLE AV @ S SMITHVILLE RD,,39.754124,-84.138659,,,,,0
11974,,HUFFMAN AV @ HEISS AV,,39.757754,-84.140833,,,,,0
11976,,HUFFMAN AV @ S WRIGHT AV,,39.757946,-84.144331,,,,,0
11977,,HUFFMAN AV @ S GARLAND AV,,39.758055,-84.146211,,,,,0
11978,,HUFFMAN AV @ S HEDGES AV,,39.758126,-84.147635,,,,,0
11979,,HUFFMAN AV @ HOLLIER AV,,39.758266,-84.149781,,,,,0
11980,,S JERSEY ST @ 5TH STREET,S JERSEY ST & EASTERN CT,39.758682,-84.152678,,,,,0
11983,,S JERSEY ST @ HUFFMAN AVE,S JERSEY ST & BURKHARDT AVE,39.761387,-84.152434,,,,,0
11984,,E 5TH ST @ S MONMOUTH ST,E 5TH ST & S PHILADELPHIA ST,39.761805,-84.153482,,,,,0
11986,,E 5TH ST @ S FINDLAY ST,E 5th St & S Horton St,39.761353,-84.156724,,,,,0
11988,,E 5TH ST @ S GARFIELD ST,E 5th St & Hivling St,39.760824,-84.160056,,,,,0
11989,,E 5TH ST @ S VAN LEAR ST,E 5th St & Linden Av,39.760591,-84.161469,,,,,0
11990,,E 5TH ST @ COLUMBUS ST,E 5th St & Huffman Av,39.760098,-84.164496,,,,,0
11991,,E 5TH ST @ HUFFMAN AV,E 5th St & Huffman Av,39.759757,-84.16658,,,,,0
11992,,E 5TH ST @ S JUNE ST,E 5th St & S June St,39.759318,-84.169264,,,,,0
11993,,E 5TH ST @ S TERRY ST,,39.759162,-84.170376,,,,,0
11994,,E 5TH ST @ DUTOIT ST,E 5th St & La Belle St,39.758654,-84.173421,,,,,0
11995,,E 5TH ST @ HIGH ST,E 5th St & High St,39.758492,-84.17441,,,,,0
11996,,E 5TH ST @ KEOWEE ST,,39.758154,-84.176586,,,,,0
11998,,E 5TH ST @ 1111 E 5TH ST,,39.757652,-84.179267,,,,,0
12000,,E 5TH ST @ WALNUT ST,,39.757425,-84.181308,,,,,0
12001,,WAYNE AV @ E 5TH ST,,39.756876,-84.181726,,,,,0
12002,,WAYNE AV @ 4TH ST,,39.75862,-84.183532,,,,,0
12005,,S MAIN ST @ W 5TH ST,,39.756731,-84.191316,,,,,0
12006,,S MAIN ST @ 6TH ST,S Main St & W 5th St,39.755398,-84.190881,,,,,0
12007,,MAIN & FRANKLIN,S Main St & Franklin St,39.753668,-84.190395,,,,,0
12008,,S MAIN ST @ LINCOLN ST,,39.749516,-84.18913,,,,,0
12009,,S MAIN ST @ STOUT ST,,39.748308,-84.188789,,,,,0
12010,,S MAIN ST @ APPLE ST,S MAIN ST & W APPLE ST,39.746222,-84.188259,,,,,0
12011,,S MAIN ST @ WYOMING ST,,39.744873,-84.188045,,,,,0
12013,,E STEWART ST @ S MAIN ST,,39.740428,-84.186173,,,,,0
12015,,E STEWART ST @ BROWN ST,,39.740801,-84.182674,,,,,0
12024,,WILMINGTON PIKE @ 3045 WILMINGTO,,39.702081,-84.141813,,,,,0
12026,,WILMINGTON PIKE @ 3313 WILMINGTO,,39.698025,-84.1413,,,,,0
12073,,E STROOP RD @ GLASER DR,,39.688844,-84.129329,,,,,0
12091,,MAIN & STEWART,E Stewart St & Hwy 48,39.74066,-84.186299,,,,,0
12092,,S MAIN ST @ FAIRGROUND AV,,39.741946,-84.186882,,,,,0
12094,,S MAIN ST @ WYOMING ST,,39.744515,-84.187606,,,,,0
12095,,S MAIN ST @ APPLE ST,,39.746177,-84.188118,,,,,0
12096,,S MAIN ST @ STOUT ST,,39.748108,-84.188642,,,,,0
12098,,S MAIN ST @ S PATTERSON BLVD,,39.750553,-84.189257,,,,,0
